Census House Number,Main Material of Floor,Main Material of Walls,Main Material of Ceiling,Building Usage,Condition of Building,Number of People,Name of Head of Family,Gender,Rooms in House,Married Pairs,Drinking Water Source,Location of Water Sources,Light Source,Sanitation Facilities,Rest Room,Sewage Flow,In Premises Bathing Facilities,Cooking Gas,Cooking Fuel,Radio Transmitter,TV,Internet Connection,Laptop / Computer,Transportation Mode,Primary Consumed Food,Phone Number
314,Mosaic / Vitrified tiles,Mosaic / Vitrified tiles,Mud,House,Non Livable,1,Sekhar Mudiraj,Male,2,0,Well,In premises,Electricity,Usage only for family,Yes,Septic tank,No roof,N/A,Kerosene,Smartphone,N/A,Yes,No,N/A,Roti and Dal,7199717911
315,Mosaic / Vitrified tiles,Tiles/Bricks,Penkulu,House,Non Livable,2,Padma Mangali,Female,1,0,Hand pump,In premises,Kerosene,Shared by community,Yes,Septic tank,Bathroom,N/A,Wood,Smartphone,Doordarshan,Yes,No,N/A,Pulao,6507859311
316,Stone-slab flooring,Tiles/Bricks,Burnt Bricks,Rent,Non Livable,10,Apparao Kumar,Male,6,1,Hand pump,In premises,Electricity,Usage only for family,Yes,Rings,Bathroom,LPG/PNG,Electricity,Smartphone,DTH connection,Yes,No,Car,Wheat,6892038806
317,Cement,Stones,Concrete,School,Livable,8,Satish Mudiraj,Male,6,0,Packaged water,Community,Electricity,Usage only for family,Yes,Septic tank,N/A,N/A,Grass (dry),N/A,N/A,No,No,Bike,Rice and Sambar,8636205015
318,Other materials,Tiles/Bricks,Asbestos Sheets,House,Livable,10,Anil Goud,Male,1,2,Well,In premises,Electricity,Walkable distance,Yes,Septic tank,Bathroom,LPG/PNG,Kerosene,N/A,N/A,Yes,No,Bike,Rice,9355289611
319,Other materials,Tiles/Bricks,Mud,House,Livable,6,Vijay Mudiraj,Male,4,2,Hand pump,In premises,Electricity,Walkable distance,Yes,Septic tank,No roof,N/A,Kerosene,N/A,DTH connection,No,No,ATB,Rice,9857872558
320,Tiles/Bricks,Tiles/Bricks,Concrete,House,Livable,10,Renuka Erukala,Female,2,0,Well,In premises,Any oil,Shared by community,No,Septic tank,No roof,LPG/PNG,Cow dung cakes,Smartphone,Cable connection,Yes,No,ATB,Rice and Dal,9665754602
321,Cement,Mosaic / Vitrified tiles,Other materials,House,Livable,9,Harish Kumar,Male,5,3,Purified water,In premises,Electricity,Usage only for family,Yes,Septic tank,Bathroom,N/A,Cow dung cakes,Smartphone,N/A,Yes,No,N/A,Rice and Fish,8044566907
322,Stone-slab flooring,Cement,Asbestos Sheets,House,Non Livable,4,Manga Kuruma,Female,1,1,River,Community,Solar power,Usage only for family,Yes,N/A,No roof,LPG/PNG,Electricity,Smartphone,Cable connection,Yes,Yes,N/A,Rice,8536668459
323,Cement,Mosaic / Vitrified tiles,Other materials,Empty,Livable,0,N/A,N/A,2,0,Hand pump,In premises,Electricity,Walkable distance,Yes,N/A,Bathroom,N/A,N/A,N/A,N/A,No,No,N/A,N/A,6705802566
324,Mosaic / Vitrified tiles,Tiles/Bricks,Concrete,Shop,Livable,4,Chandra Erukala,Male,2,0,Lake,In premises,Electricity,Usage only for family,Yes,Rings,Bathroom,LPG/PNG,Biogas,Smartphone,Cable connection,No,No,Car,Roti and Dal,9901475469
325,Tiles/Bricks,Stones,Asbestos Sheets,House,Non Livable,12,Devi Golla,Female,4,3,Purified water,Community,Electricity,Walkable distance,Yes,N/A,Bathroom,LPG/PNG,Grass (dry),Smartphone,N/A,No,No,Cycle,Rice and Dal,6856724380
326,Soil/Mud,Soil/Mud,Concrete,House,Non Livable,4,Srinivas Vaddera,Male,1,1,Well,Community,Electricity,Usage only for family,Yes,Septic tank,N/A,LPG/PNG,Biogas,N/A,Doordarshan,Yes,Yes,Bike,Millets,9210427523
327,Cement,Cement,Penkulu,House,Livable,11,Tulasi Kamma,Female,6,3,River,In premises,Electricity,Usage only for family,Yes,Septic tank,Bathroom,N/A,Wood,Radio,Doordarshan,Yes,No,ATB,Rice,6220681558
328,Tiles/Bricks,Tiles/Bricks,Asbestos Sheets,Empty,Livable,0,N/A,N/A,2,0,Purified water,In premises,Electricity,Usage only for family,Yes,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,9150997683
329,Soil/Mud,Tiles/Bricks,Penkulu,House,Non Livable,4,Yellaiah Singh,Male,1,1,Purified water,In premises,Electricity,Walkable distance,Yes,N/A,No roof,LPG/PNG,Electricity,Smartphone,Cable connection,No,No,Bike,Rice,8533803396
330,Soil/Mud,Other materials,Other materials,Rent,Livable,8,Naveen Kummari,Male,2,0,Purified water,In premises,Electricity,Walkable distance,Yes,Rings,Bathroom,LPG/PNG,Electricity,Smartphone,Cable connection,Yes,No,Car,Rice and Pickle,7471566277
331,Cement,Tiles/Bricks,Mud,Shop,Non Livable,8,Lakshman Uppara,Male,1,0,Other sources,In premises,Electricity,Shared by community,Yes,Septic tank,Bathroom,LPG/PNG,Solar cooker,Smartphone,Cable connection,Yes,Yes,N/A,Rice,8766656749
332,Mosaic / Vitrified tiles,Mosaic / Vitrified tiles,Asbestos Sheets,House,Livable,4,Ramesh Singh,Male,2,1,River,Community,Electricity,Usage only for family,Yes,Septic tank,Bathroom,LPG/PNG,Biogas,Smartphone,Doordarshan,Yes,No,Cycle,Rice and Vegetables,7439920116
333,Tiles/Bricks,Tiles/Bricks,Other materials,Rent,Livable,7,Krishna Gupta,Male,4,1,Lake,In premises,Electricity,Usage only for family,No,Rings,Bathroom,LPG/PNG,Biogas,Smartphone,Cable connection,Yes,No,Bike,Wheat,7701168646
334,Mosaic / Vitrified tiles,Stones,Concrete,Shop,Livable,3,Naresh Setty,Male,5,0,Well,In premises,Electricity,Shared by community,Yes,N/A,Bathroom,LPG/PNG,Solar cooker,N/A,DTH connection,Yes,No,Bike,Rice and Dal,7771004090
335,Mosaic / Vitrified tiles,Cement,Asbestos Sheets,House,Livable,5,Hari Reddy,Male,2,1,River,In premises,Electricity,Usage only for family,Yes,Septic tank,No roof,N/A,Kerosene,N/A,N/A,Yes,No,N/A,Rice and Rasam,6918435797
336,Mosaic / Vitrified tiles,Mosaic / Vitrified tiles,Concrete,House,Livable,6,Raju Mudiraj,Male,3,0,Lake,In premises,Electricity,Shared by community,No,Septic tank,N/A,N/A,Grass (dry),Smartphone,DTH connection,Yes,No,Car,Bajra Roti,6271487271
337,Cement,Cement,Stone,House,Livable,11,Raghu Padmashali,Male,1,0,Other sources,In range of 500m,Solar power,Usage only for family,Yes,Rings,N/A,LPG/PNG,Kerosene,Smartphone,DTH connection,Yes,No,N/A,Rice and Rasam,6566863341
338,Stones,Mosaic / Vitrified tiles,Other materials,House,Livable,4,Anil Gupta,Male,3,0,Hand pump,In premises,Electricity,Shared by community,No,N/A,Bathroom,LPG/PNG,Solar cooker,Smartphone,Cable connection,Yes,Yes,Bike,Millets,9524377294
339,Other materials,Cement,Concrete,Rent,Livable,12,Raju Rao,Male,3,0,Packaged water,Community,Kerosene,Usage only for family,No,Septic tank,N/A,LPG/PNG,Biogas,N/A,Doordarshan,No,No,Bike,Rice and Dal,7086567566
340,Soil/Mud,Stones,Burnt Bricks,House,Broken,9,Satyam Balija,Male,1,3,Packaged water,In range of 500m,Kerosene,Usage only for family,Yes,Septic tank,No roof,LPG/PNG,Kerosene,Smartphone,Cable connection,Yes,Yes,N/A,Rice and Vegetables,7662015720
341,Soil/Mud,Tiles/Bricks,Mud,Rent,Broken,7,Sai Madiga,Male,1,1,Hand pump,In premises,Kerosene,Shared by community,No,Rings,Bathroom,LPG/PNG,Biogas,Smartphone,DTH connection,Yes,Yes,Cycle,Rice,7099974192
342,Stones,Cement,Concrete,House,Livable,6,Nagaraj Uppara,Male,2,0,Packaged water,In range of 500m,Electricity,Usage only for family,No,Rings,N/A,LPG/PNG,Biogas,Smartphone,DTH connection,Yes,No,ATB,Rice,9510293218
343,Tiles/Bricks,Other materials,Concrete,House,Livable,5,Yellaiah Rao,Male,3,1,Well,In premises,No sunlight,Walkable distance,Yes,Rings,Bathroom,LPG/PNG,Electricity,N/A,N/A,No,No,ATB,Rice,6324329839
344,Cement,Mosaic / Vitrified tiles,Concrete,House,Livable,7,Vijay Uppara,Male,4,1,Other sources,In premises,Electricity,Shared by community,Yes,Rings,No roof,N/A,Cow dung cakes,Smartphone,DTH connection,Yes,No,Bike,Rice and Sambar,9093141818
345,Tiles/Bricks,Tiles/Bricks,Other materials,House,Livable,5,Deepak Gupta,Male,1,1,Well,In range of 500m,Solar power,Usage only for family,Yes,N/A,No roof,N/A,Wood,Smartphone,DTH connection,Yes,Yes,Cycle,Rice,8625889679
346,Cement,Tiles/Bricks,Other materials,Shop,Livable,3,Ravi Jangam,Male,4,0,Hand pump,In premises,Solar power,Shared by community,Yes,Rings,Bathroom,LPG/PNG,Electricity,Smartphone,Cable connection,No,No,Bike,Rice and Vegetables,6465111312
347,Cement,Cement,Other materials,Rent,Livable,1,Kavitha Balija,Female,1,0,Other sources,Community,Electricity,Shared by community,No,Rings,No roof,N/A,Cow dung cakes,Smartphone,N/A,Yes,No,N/A,Millets,6972832152
348,Mosaic / Vitrified tiles,Mosaic / Vitrified tiles,Concrete,House,Livable,2,Venkatesh Uppara,Male,1,0,Well,Community,Electricity,Usage only for family,No,Septic tank,N/A,N/A,Biogas,Smartphone,N/A,No,No,Cycle,Rice,9545105265
349,Mosaic / Vitrified tiles,Soil/Mud,Concrete,House,Livable,3,Murali Thogata,Male,1,1,Well,Community,Electricity,Usage only for family,No,Rings,Bathroom,N/A,Cow dung cakes,Smartphone,Cable connection,Yes,Yes,N/A,Bajra Roti,6340266502
350,Mosaic / Vitrified tiles,Mosaic / Vitrified tiles,Concrete,House,Livable,8,Kalyani Kapu,Female,3,1,River,Community,Solar power,Usage only for family,No,N/A,Bathroom,LPG/PNG,Wood,Smartphone,Other,Yes,No,Car,Rice,9447163928
351,Soil/Mud,Stones,Asbestos Sheets,Empty,Broken,0,N/A,N/A,2,0,River,Community,Electricity,Walkable distance,Yes,N/A,Bathroom,N/A,N/A,N/A,N/A,No,No,N/A,N/A,8145456350
352,Tiles/Bricks,Mosaic / Vitrified tiles,Asbestos Sheets,House,Livable,10,Raju Lambadi,Male,4,0,Well,In premises,Electricity,Shared by community,No,Septic tank,No roof,LPG/PNG,Biogas,Smartphone,Cable connection,Yes,Yes,Bike,Pulao,7910933711
353,Tiles/Bricks,Tiles/Bricks,Concrete,House,Livable,4,Mahalakshmi Madiga,Female,3,1,River,In range of 500m,Solar power,Walkable distance,Yes,Septic tank,Bathroom,LPG/PNG,Kerosene,Smartphone,Cable connection,Yes,No,N/A,Rice,8240903678
354,Cement,Tiles/Bricks,Polythene,House,Livable,9,Sunitha Chary,Female,4,3,Hand pump,Community,Electricity,Walkable distance,Yes,Rings,No roof,LPG/PNG,Biogas,Smartphone,DTH connection,Yes,Yes,Car,Wheat,7424033810
355,Cement,Soil/Mud,Other materials,House,Broken,5,Yellamma Chakali,Female,2,1,Hand pump,In premises,Electricity,Shared by community,Yes,Septic tank,Bathroom,LPG/PNG,Biogas,N/A,N/A,No,No,Bike,Rice and Vegetables,7735439627
356,Tiles/Bricks,Cement,Mud,Empty,Broken,0,N/A,N/A,1,0,Hand pump,In range of 500m,Electricity,Usage only for family,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,7314290018
357,Tiles/Bricks,Soil/Mud,Stone,Devotional Place,Non Livable,5,Venu Rathod,Male,3,0,Well,Community,Electricity,Usage only for family,Yes,Septic tank,N/A,LPG/PNG,Wood,Smartphone,DTH connection,Yes,No,Bike,Ragi Mudde,9172131451
358,Soil/Mud,Tiles/Bricks,Mud,Empty,Broken,0,N/A,N/A,3,0,Well,In premises,Any oil,Shared by community,No,N/A,N/A,N/A,Wood,N/A,N/A,No,No,N/A,N/A,9421522655
359,Tiles/Bricks,Tiles/Bricks,Penkulu,House,Broken,7,Chandra Madiga,Male,4,2,Well,In premises,Kerosene,Shared by community,No,N/A,Bathroom,LPG/PNG,Electricity,Smartphone,DTH connection,No,No,Cycle,Idli and Rice,8247286333
360,Mosaic / Vitrified tiles,Cement,Concrete,Empty,Livable,0,N/A,N/A,2,0,Purified water,In premises,Electricity,Usage only for family,No,N/A,Bathroom,N/A,Wood,N/A,N/A,No,No,N/A,N/A,6928206678
361,Stones,Soil/Mud,Concrete,House,Livable,7,Aruna Chary,Female,2,1,Packaged water,In range of 500m,Electricity,Usage only for family,No,Rings,No roof,LPG/PNG,Electricity,Radio,Cable connection,No,No,Bike,Rice and Sambar,8034281139
362,Tiles/Bricks,Cement,Mud,Rent,Livable,1,Kiran Mudiraj,Male,2,0,Other sources,Community,Electricity,Usage only for family,Yes,N/A,No roof,N/A,Grass (dry),Smartphone,DTH connection,Yes,Yes,ATB,Wheat,6820967904
363,Mosaic / Vitrified tiles,Cement,Concrete,House,Livable,12,Ramana Vaddera,Male,2,1,Purified water,In range of 500m,Electricity,Shared by community,No,N/A,Bathroom,N/A,Wood,Smartphone,DTH connection,No,No,Bike,Rice,6297102481
364,Stones,Tiles/Bricks,Concrete,House,Livable,2,Srikanth Lambadi,Male,2,0,Hand pump,In range of 500m,Any other,Shared by community,Yes,N/A,N/A,N/A,Grass (dry),Smartphone,DTH connection,Yes,No,ATB,Rice and Dal,8516874090
365,Stones,Cement,Mud,House,Non Livable,5,Bharathi Nayak,Female,1,1,Packaged water,Community,Electricity,Usage only for family,Yes,N/A,Bathroom,LPG/PNG,Kerosene,N/A,Cable connection,No,Yes,Bike,Rice and Vegetables,7714708272
366,Mosaic / Vitrified tiles,Other materials,Asbestos Sheets,House,Livable,7,Priya Rathod,Female,3,0,Well,In premises,Solar power,Usage only for family,Yes,Septic tank,Bathroom,LPG/PNG,Cow dung cakes,N/A,Cable connection,No,No,Bike,Rice,9542356778
367,Soil/Mud,Cement,Concrete,House,Livable,7,Rani Uppara,Female,2,0,Well,In range of 500m,No sunlight,Shared by community,No,Septic tank,Bathroom,LPG/PNG,Kerosene,N/A,N/A,Yes,No,Car,Rice,9279103368
368,Stones,Stone-slab flooring,Asbestos Sheets,House,Livable,4,Susheela Mangali,Female,1,1,Well,In range of 500m,Electricity,Usage only for family,No,Septic tank,Bathroom,N/A,Grass (dry),N/A,N/A,No,No,Car,Rice,9646491111
369,Stones,Stone-slab flooring,Asbestos Sheets,House,Non Livable,10,Mahalakshmi Golla,Female,1,3,Lake,In range of 500m,Electricity,Shared by community,Yes,Septic tank,N/A,N/A,Wood,Smartphone,N/A,Yes,No,N/A,Rice and Dal,8384444630
370,Stone-slab flooring,Mosaic / Vitrified tiles,Other materials,House,Livable,6,Vasantha Rao,Female,3,2,Well,In range of 500m,Electricity,Shared by community,No,N/A,No roof,LPG/PNG,Solar cooker,N/A,N/A,Yes,No,Bike,Rice,7819648253
371,Stones,Soil/Mud,Asbestos Sheets,House,Non Livable,3,Suresh Uppara,Male,1,0,Other sources,Community,Solar power,Usage only for family,No,Septic tank,Bathroom,N/A,Cow dung cakes,N/A,DTH connection,No,Yes,Cycle,Rice,6179112442
372,Cement,Soil/Mud,Penkulu,Empty,Livable,0,N/A,N/A,1,0,Other sources,In premises,Kerosene,Usage only for family,Yes,N/A,N/A,N/A,Wood,N/A,N/A,No,No,N/A,N/A,6808823513
373,Cement,Mosaic / Vitrified tiles,Concrete,House,Livable,2,Gopal Patil,Male,2,0,Other sources,In range of 500m,Electricity,Usage only for family,No,Rings,N/A,LPG/PNG,Biogas,Smartphone,DTH connection,Yes,No,Bike,Rice and Dal,8591966395
374,Tiles/Bricks,Stones,Asbestos Sheets,House,Non Livable,9,Bhaskar Kumar,Male,5,2,Other sources,Community,Electricity,Usage only for family,No,Septic tank,Bathroom,LPG/PNG,Electricity,Smartphone,DTH connection,Yes,Yes,ATB,Rice and Fish,7795381649
375,Mosaic / Vitrified tiles,Stones,Concrete,Rent,Livable,11,Mahesh Yadav,Male,5,0,Well,In premises,Electricity,Walkable distance,Yes,N/A,Bathroom,LPG/PNG,Electricity,Smartphone,Cable connection,Yes,Yes,ATB,Rice and Curry,6742608805
376,Tiles/Bricks,Tiles/Bricks,Polythene,House,Non Livable,12,Sunitha Erukala,Female,3,2,Packaged water,Community,Electricity,Usage only for family,No,Rings,No roof,N/A,Kerosene,N/A,DTH connection,Yes,No,Cycle,Wheat Roti and Sabzi,9321358004
377,Cement,Mosaic / Vitrified tiles,Asbestos Sheets,House,Livable,5,Padma Singh,Female,3,1,Purified water,In premises,Electricity,Usage only for family,No,N/A,N/A,N/A,Grass (dry),Smartphone,Cable connection,Yes,No,ATB,Rice and Pickle,8731441583
378,Tiles/Bricks,Mosaic / Vitrified tiles,Stone,House,Livable,4,Parvathi Kumar,Female,3,0,Purified water,In premises,Electricity,Shared by community,No,N/A,Bathroom,LPG/PNG,Electricity,Smartphone,DTH connection,No,No,N/A,Roti and Dal,9314624912
379,Tiles/Bricks,Stone-slab flooring,Penkulu,House,Non Livable,3,Manoj Singh,Male,1,1,Purified water,Community,Electricity,Usage only for family,Yes,Septic tank,Bathroom,LPG/PNG,Electricity,Radio,N/A,No,No,Bike,Wheat,9861031310
380,Cement,Stones,Concrete,House,Livable,5,Ramadevi Kapu,Female,3,1,Well,In range of 500m,Kerosene,Usage only for family,Yes,Septic tank,No roof,N/A,Wood,Radio,N/A,Yes,No,N/A,Rice and Curry,7251225720
381,Other materials,Stones,Penkulu,House,Broken,3,Aruna Madiga,Female,2,0,Well,In premises,Solar power,Shared by community,No,N/A,Bathroom,LPG/PNG,Kerosene,Radio,N/A,No,No,N/A,Wheat,9457054589
382,Cement,Tiles/Bricks,Concrete,Shop,Livable,7,Dinesh Budiga,Male,2,0,Well,Community,Any other,Usage only for family,No,Septic tank,N/A,LPG/PNG,Biogas,N/A,N/A,No,No,Car,Wheat,8569644309
383,Other materials,Cement,Concrete,House,Livable,6,Deepak Singh,Male,1,2,Hand pump,In premises,Any other,Shared by community,No,Septic tank,Bathroom,N/A,Wood,Radio,Other,No,No,Bike,Jowar Roti,6042548821
384,Tiles/Bricks,Tiles/Bricks,Asbestos Sheets,Empty,Broken,0,N/A,N/A,1,0,Hand pump,In premises,Any other,Usage only for family,No,N/A,Bathroom,N/A,Wood,N/A,N/A,No,No,N/A,N/A,6287585756
385,Tiles/Bricks,Tiles/Bricks,Other materials,Empty,Livable,0,N/A,N/A,2,0,Packaged water,Community,Electricity,Shared by community,Yes,N/A,Bathroom,N/A,N/A,N/A,N/A,No,No,N/A,N/A,6980382872
386,Soil/Mud,Tiles/Bricks,Concrete,School,Livable,4,Kiran Reddy,Male,1,0,Hand pump,In premises,Electricity,Usage only for family,Yes,Septic tank,N/A,LPG/PNG,Electricity,Smartphone,Other,Yes,Yes,Car,Rice and Dal,6620223288
387,Cement,Stones,Concrete,House,Livable,10,Venu Balija,Male,3,3,Purified water,In premises,Electricity,Usage only for family,Yes,Rings,Bathroom,LPG/PNG,Solar cooker,N/A,Doordarshan,No,No,Bike,Rice and Fish,8025883586
388,Tiles/Bricks,Mosaic / Vitrified tiles,Asbestos Sheets,House,Livable,6,Naveen Goud,Male,2,2,Well,In range of 500m,Electricity,Usage only for family,Yes,Rings,No roof,N/A,Cow dung cakes,Smartphone,DTH connection,Yes,No,Bike,Rice and Vegetables,9100231177
389,Other materials,Mosaic / Vitrified tiles,Polythene,House,Non Livable,12,Ganesh Padmashali,Male,7,3,Well,In premises,Kerosene,Usage only for family,Yes,Rings,Bathroom,LPG/PNG,Kerosene,Smartphone,Cable connection,Yes,No,Bike,Roti and Dal,8332683190
390,Stones,Cement,Penkulu,House,Non Livable,1,Laxmamma Yadav,Female,2,0,River,In range of 500m,Kerosene,Shared by community,Yes,Septic tank,N/A,LPG/PNG,Electricity,N/A,N/A,No,No,N/A,Millets,7841173098
391,Stones,Mosaic / Vitrified tiles,Burnt Bricks,Empty,Livable,0,N/A,N/A,3,0,Well,Community,Electricity,Shared by community,No,N/A,No roof,N/A,N/A,N/A,N/A,No,No,N/A,N/A,6516991872
392,Soil/Mud,Soil/Mud,Concrete,House,Livable,8,Prasad Jangam,Male,2,2,Packaged water,Community,Solar power,Shared by community,No,Rings,Bathroom,N/A,Cow dung cakes,Smartphone,DTH connection,Yes,No,N/A,Wheat Roti and Sabzi,8535603319
393,Soil/Mud,Soil/Mud,Polythene,Empty,Broken,0,N/A,N/A,3,0,Hand pump,In premises,Electricity,Shared by community,Yes,N/A,Bathroom,N/A,Wood,N/A,N/A,No,No,N/A,N/A,6056974132
394,Stones,Stones,Penkulu,House,Non Livable,3,Parvathi Singh,Female,1,0,Purified water,Community,Electricity,Usage only for family,Yes,N/A,Bathroom,LPG/PNG,Solar cooker,Smartphone,DTH connection,No,No,Bike,Rice and Dal,6408509549
395,Mosaic / Vitrified tiles,Mosaic / Vitrified tiles,Concrete,Shop,Livable,7,Suresh Madiga,Male,6,0,Hand pump,In range of 500m,No sunlight,Usage only for family,No,Rings,Bathroom,N/A,Cow dung cakes,Smartphone,Cable connection,No,No,N/A,Wheat,8138459609
396,Tiles/Bricks,Stones,Asbestos Sheets,School,Non Livable,1,Dinesh Munnuru,Male,1,0,Packaged water,In premises,Electricity,Usage only for family,Yes,Septic tank,No roof,LPG/PNG,Electricity,Smartphone,N/A,Yes,No,N/A,Rice and Dal,8447232290
397,Soil/Mud,Cement,Penkulu,House,Livable,8,Nagaraj Rao,Male,3,2,River,In premises,Electricity,Shared by community,No,Septic tank,No roof,LPG/PNG,Electricity,Radio,Cable connection,No,No,Bike,Chapati,9164205955
398,Soil/Mud,Soil/Mud,Burnt Bricks,House,Broken,3,Pochamma Chakali,Female,1,1,Purified water,In premises,Electricity,Shared by community,No,N/A,No roof,N/A,Wood,Smartphone,DTH connection,Yes,No,ATB,Khichdi,7989868180
399,Mosaic / Vitrified tiles,Tiles/Bricks,Concrete,Rent,Livable,4,Laxmamma Budiga,Female,2,1,Other sources,In premises,Electricity,Walkable distance,No,Septic tank,N/A,LPG/PNG,Cow dung cakes,Smartphone,DTH connection,Yes,No,Bike,Rice and Sambar,7928369294
400,Cement,Mosaic / Vitrified tiles,Stone,House,Livable,9,Swathi Lambadi,Female,5,1,Purified water,Community,Electricity,Usage only for family,No,Rings,Bathroom,LPG/PNG,Biogas,N/A,Doordarshan,Yes,Yes,Car,Millets,9652683415
